SchoolID,SchoolName,FullName,CPS Unit,Latitude,Longitude
609803,Blaine,James G Blaine Elementary School,2300,41.9495304,-87.68598149
610087,Blair,Blair Early Childhood Center,4990,41.69714289,-87.69727786
609698,Bogan HS,William J Bogan High School,1230,41.79143647,-87.72446996
610238,Bond,Carrie Jacobs Bond Elementary School,6550,41.90679134,-87.76710612
609804,Boone,Daniel Boone Elementary School,2320,41.7104345,-87.61742707
609815,Bouchet,Edward A Bouchet Math & Science Academy ES,2430,41.88299748,-87.67064568
610323,Bowen HS,Bowen High School,7540,41.82935505,-87.66785319
609806,Bradwell,Myra Bradwell Communications Arts & Sciences ES,2340,42.00341203,-87.69742604
610242,Brennemann,Joseph Brennemann Elementary School,6600,41.76536112,-87.65298114
609809,Brentano,Lorenz Brentano Math & Science Academy ES,2370,41.75342976,-87.70873057
609810,Bridge,Norman A Bridge Elementary School,2380,41.6866593,-87.63366874
610566,Bridgescape Academy Of North Lawndale,Magic Johnson Bridgescape Academy North Lawndale,9631,41.80843998,-87.67754237
610567,Bridgescape Academy Of South Shore,Magic Johnson Bridgescape Academy South Shore,9632,41.95198844,-87.72028376
609811,Bright,Orville T Bright Elementary School,2390,41.93096541,-87.69633094
610317,Brighton Park,Brighton Park Elementary School,7470,41.67228197,-87.65053774
610381,Bronzeville HS,Bronzeville Scholastic Academy High School,7270,41.73415291,-87.64676752
400019,Bronzeville Lthouse Chtr Campus,Bronzeville Lighthouse Charter Elementary School,3990,41.81924917,-87.62662118
609726,Brooks HS,Gwendolyn Brooks College Preparatory Academy HS,1500,41.98756724,-87.70251934
610091,"Brown, R",Ronald Brown Elementary Community Academy,5040,41.95010519,-87.71683248
609812,"Brown, W",William H Brown Elementary School,2400,41.94911537,-87.79863218
609813,Brownell,Charles S Brownell Elementary School,2410,41.69972653,-87.56204762
609830,Brunson,Milton Brunson Math & Science Specialty ES,2550,41.91238535,-87.66866113
609817,Budlong,Lyman A Budlong Elementary School,2440,41.77161975,-87.62178262
609818,Burbank,Luther Burbank Elementary School,2450,41.76084703,-87.5761115
609819,Burke,Edmond Burke Elementary School,2460,41.97578177,-87.69655641
609820,Burley,Augustus H Burley Elementary School,2470,41.91759748,-87.7827363
609821,Burnham,Burnham Elementary Inclusive Academy,2480,41.79676012,-87.61610386
609827,Burnside,Burnside Elementary Scholastic Academy,2520,41.71440236,-87.56709397
609828,Burr,Jonathan Burr Elementary School,2530,41.84545047,-87.71489032
609829,Burroughs,John C Burroughs Elementary School,2540,41.7284532,-87.60743464
609832,Byrne,Michael M Byrne Elementary School,2570,41.82886851,-87.69241995
609833,Caldwell,Charles P Caldwell Academy of Math & Science ES,2580,41.89766334,-87.76556894
610353,Calmeca,Calmeca Academy of Fine Arts and Dual Language,7880,41.72969181,-87.57667958
610565,Camelot - Excel Academy Of Englewood,Excel Academy of Englewood,9630,41.87752873,-87.68324895
610572,Camelot - Safe School Program ES,Camelot Safe Academy Elementary,9637,41.77901823,-87.70376059
610573,Camelot - Safe School Program HS,Camelot Safe Academy High School,9638,42.01717109,-87.80664497
609835,Cameron,Daniel R Cameron Elementary School,2610,41.73922676,-87.58069239
610539,Camras,Marvin Camras Elementary School,8600,41.92131679,-87.7658173
610018,Canter,Miriam G Canter Middle School,4260,41.74068795,-87.67712874
609836,Canty,Arthur E Canty Elementary School,2620,41.84369897,-87.71728227
610024,Cardenas,Lazaro Cardenas Elementary School,4320,41.9045302,-87.71423422
609837,Carnegie,Andrew Carnegie Elementary School,2630,41.9037928,-87.71788991
609839,Carroll,Carroll-Rosenwald Specialty Elementary School,2650,41.94800784,-87.82925896
609842,Carson,Rachel Carson Elementary School,2660,41.78334088,-87.59079528
609844,Carter,William W Carter Elementary School,2670,41.74254406,-87.69601281
609845,"Carver , G",George Washington Carver Primary School,2690,41.7932727,-87.68776288
609760,Carver Military,George Washington Carver Military Academy HS,1850,41.80308142,-87.72206492
610021,Casals,Pablo Casals Elementary School,4290,41.80430753,-87.59046751
609849,Cassell,George F Cassell Elementary School,2720,41.65372953,-87.59951724
609826,Castellanos,Rosario Castellanos Elementary School,2510,41.93791004,-87.66985252
400021,Catalyst Chtr - Circle Rock,Catalyst Elementary School - Circle Rock,4371,41.88229478,-87.76532138
400020,Catalyst Chtr - Howland,Catalyst Charter ES - Howland,4370,41.85851913,-87.70795224
400115,Catalyst Chtr - Maria,Catalyst-Maria Charter School,9032,41.77099145,-87.69311198
610251,Cather,Willa Cather Elementary School,6730,41.79404868,-87.69022418
609851,Chalmers,Thomas Chalmers Specialty Elementary School,2740,41.68734786,-87.70317889
609852,Chappell,Eliza Chappell Elementary School,2750,41.95278208,-87.65097925
609853,Chase,Salmon P Chase Elementary School,2760,41.86646269,-87.6952598
610148,Chavez,Cesar E Chavez Multicultural Academic Center ES,5640,41.76416842,-87.60017639
610248,Chgo Acad ES,Chicago Academy Elementary School,6670,41.89036791,-87.76770517
610340,Chgo Acad HS,Chicago Academy High School,7770,41.8862375,-87.71542384
609753,Chgo Agr HS,Chicago High School for Agricultural Sciences,1790,41.86436492,-87.66875893
400022,Chgo Arts Contr HS,Chicago High School for the Arts,8047,41.83114497,-87.61362868
400035,Chgo Math & Sci Acad Campus HS,Chicago Math and Science Academy High School,7940,42.01303461,-87.67478186
609754,Chgo Military Acad HS,Chicago Military Academy High School,1800,41.81367498,-87.60391054
400093,Chgo Talent Chtr HS,Chicago Talent Development HS,8053,41.87752873,-87.68324895
,Chicago Collegiate Chtr School,Chicago Charter Collegiate HS,9618,41.97413062,-87.65988177
400147,Chicago Excel Contr Acad,Chicago Excel Academy,9066,41.69215764,-87.65446453
400113,Chicago Quest North,Chicago Intl Charter - Chicago Quest North,8672,41.90780971,-87.64559391
400091,Chicago Tech Academy,Chicago Technology Academy High School,8022,41.86332884,-87.65909602
400036,Chicago Virtual Chtr Campus HS,Chicago Virtual Charter High School,7700,41.88055087,-87.64973578
609674,Chicago Vocational HS,Chicago Vocational Career Academy High School,1010,41.84596533,-87.68554722
609854,Chopin,Frederic Chopin Elementary School,2770,41.97592174,-87.68326438
609855,Christopher,Walter S Christopher Elementary School,2780,41.9179714,-87.6945855
